| EOS/USD | X:EOS-USD | crypto | crypto |
| DSH/USD | X:DSH-USD | crypto | crypto |
| NEO/USD | X:NEO-USD | crypto | crypto |
| TRX/USD | X:TRX-USD | crypto | crypto |
| ETC/USD | X:ETC-USD | crypto | crypto |
| ZRX/USD | X:ZRX-USD | crypto | crypto |
| XEM/USD | X:XEM-USD | crypto | crypto |
| XVG/USD | X:XVG-USD | crypto | crypto |
| OMG/USD | X:OMG-USD | crypto | crypto |
| ETH/EUR | X:ETH-EUR | crypto | crypto |
| 1INCH/USD | X:1INCH-USD | crypto | crypto |
| ADA/USD | X:ADA-USD | crypto | crypto |
| ALGO/USD | X:ALGO-USD | crypto | crypto |
| APE/USD | X:APE-USD | crypto | crypto |
| ATOM/USD | X:ATOM-USD | crypto | crypto |
| AXS/USD | X:AXS-USD | crypto | crypto |
| BNB/USD | X:BNB-USD | crypto | crypto |
| CHZ/USD | X:CHZ-USD | crypto | crypto |
| DOGE/USD | X:DOGE-USD | crypto | crypto |
| DOT/USD | X:DOT-USD | crypto | crypto |
| EGLD/USD | X:EGLD-USD | crypto | crypto |
| FIL/USD | X:FIL-USD | crypto | crypto |
| FTM/USD | X:FTM-USD | crypto | crypto |
| HBAR/USD | X:HBAR-USD | crypto | crypto |
| ICP/USD | X:ICP-USD | crypto | crypto |
| IOTA/USD | X:IOTA-USD | crypto | crypto |
| LUNA/USD | X:LUNA-USD | crypto | crypto |
| MANA/USD | X:MANA-USD | crypto | crypto |
| MATIC/USD | X:MATIC-USD | crypto | crypto |
| NEAR/USD | X:NEAR-USD | crypto | crypto |
| QNT/USD | X:QNT-USD | crypto | crypto |
| RUNE/USD | X:RUNE-USD | crypto | crypto |
| SAND/USD | X:SAND-USD | crypto | crypto |
| SOL/USD | X:SOL-USD | crypto | crypto |
| THETA/USD | X:THETA-USD | crypto | crypto |
| UNI/USD | X:UNI-USD | crypto | crypto |
| VET/USD | X:VET-USD | crypto | crypto |
| XLM/USD | X:XLM-USD | crypto | crypto |
| XTZ/USD | X:XTZ-USD | crypto | crypto |
| LTC/EUR | X:LTC-EUR | crypto | crypto |
| XRP/EUR | X:XRP-EUR | crypto | crypto |
| AVAX/USD | X:AVAX-USD | crypto | crypto |
| BCH/USD | X:BCH-USD | crypto | crypto |
| BTC/EUR | X:BTC-EUR | crypto | crypto |
| BTC/USD | X:BTC-USD | crypto | crypto |
| ETH/USD | X:ETH-USD | crypto | crypto |
| LINK/USD | X:LINK-USD | crypto | crypto |
| LTC/USD | X:LTC-USD | crypto | crypto |
| XMR/USD | X:XMR-USD | crypto | crypto |
| XRP/USD | X:XRP-USD | crypto | crypto |

